Id,X,Y,Width,Height
01HZ2,175000,600000,5000,6250
01GZ2,165000,600000,5000,6250
02EZ1,200000,612500,5000,6250
02CZ2,185000,600000,5000,6250
02DN1,190000,606250,5000,6250
02DZ1,190000,600000,5000,6250
01HN1,170000,606250,5000,6250
01GN1,160000,606250,5000,6250
01CZ2,145000,600000,5000,6250
01DZ1,150000,600000,5000,6250
01HN2,175000,606250,5000,6250
02CZ1,180000,600000,5000,6250
02CN2,185000,606250,5000,6250
01GN2,165000,606250,5000,6250
02DZ2,195000,600000,5000,6250
02FZ1,210000,612500,5000,6250
01CZ1,140000,600000,5000,6250
01HZ1,170000,600000,5000,6250
02EZ2,205000,612500,5000,6250
02CN1,180000,606250,5000,6250
02FZ2,215000,612500,5000,6250
01GZ1,160000,600000,5000,6250
01DZ2,155000,600000,5000,6250
03DZ2,235000,600000,5000,6250
02GN1,200000,606250,5000,6250
03GN1,240000,606250,5000,6250
03GN2,245000,606250,5000,6250
02GN2,205000,606250,5000,6250
02HN2,215000,606250,5000,6250
03DN1,230000,606250,5000,6250
02HZ1,210000,600000,5000,6250
03DZ1,230000,600000,5000,6250
02HN1,210000,606250,5000,6250
03GZ1,240000,600000,5000,6250
03CZ2,225000,600000,5000,6250
02GZ2,205000,600000,5000,6250
03HN1,250000,606250,5000,6250
03CZ1,220000,600000,5000,6250
03AZ1,220000,612500,5000,6250
03GZ2,245000,600000,5000,6250
03DN2,235000,606250,5000,6250
02HZ2,215000,600000,5000,6250
05AN1,140000,593750,5000,6250
02GZ1,200000,600000,5000,6250
03HZ1,250000,600000,5000,6250
04EZ2,125000,587500,5000,6250
04GZ1,120000,575000,5000,6250
04FZ2,135000,587500,5000,6250
04FZ1,130000,587500,5000,6250
03HZ2,255000,600000,5000,6250
04GN1,120000,581250,5000,6250
04DN2,115000,581250,5000,6250
05DZ2,155000,575000,5000,6250
04GN2,125000,581250,5000,6250
04FN2,135000,593750,5000,6250
05FZ1,170000,587500,5000,6250
05HN1,170000,581250,5000,6250
05BN1,150000,593750,5000,6250
05GN2,165000,581250,5000,6250
05EZ2,165000,587500,5000,6250
04DZ2,115000,575000,5000,6250
05AN2,145000,593750,5000,6250
06BN1,190000,593750,5000,6250
05HZ1,170000,575000,5000,6250
05FZ2,175000,587500,5000,6250
05FN1,170000,593750,5000,6250
05EZ1,160000,587500,5000,6250
05DN2,155000,581250,5000,6250
05HZ2,175000,575000,5000,6250
05GN1,160000,581250,5000,6250
05GZ1,160000,575000,5000,6250
06AZ1,180000,587500,5000,6250
05FN2,175000,593750,5000,6250
06BN2,195000,593750,5000,6250
06AZ2,185000,587500,5000,6250
06CN1,180000,581250,5000,6250
06AN2,185000,593750,5000,6250
05GZ2,165000,575000,5000,6250
05HN2,175000,581250,5000,6250
06CN2,185000,581250,5000,6250
06DN1,190000,581250,5000,6250
06AN1,180000,593750,5000,6250
06DZ1,190000,575000,5000,6250
06CZ2,185000,575000,5000,6250
06BZ2,195000,587500,5000,6250
06CZ1,180000,575000,5000,6250
06DN2,195000,581250,5000,6250
06GN1,200000,581250,5000,6250
06BZ1,190000,587500,5000,6250
06GZ2,205000,575000,5000,6250
06EN2,205000,593750,5000,6250
06HZ2,215000,575000,5000,6250
06GN2,205000,581250,5000,6250
06EN1,200000,593750,5000,6250
06EZ1,200000,587500,5000,6250
07AN2,225000,593750,5000,6250
06GZ1,200000,575000,5000,6250
06DZ2,195000,575000,5000,6250
06HN2,215000,581250,5000,6250
06HN1,210000,581250,5000,6250
07AN1,220000,593750,5000,6250
07BN1,230000,593750,5000,6250
06EZ2,205000,587500,5000,6250
06FN1,210000,593750,5000,6250
06FZ2,215000,587500,5000,6250
07DN1,230000,581250,5000,6250
06FZ1,210000,587500,5000,6250
07BN2,235000,593750,5000,6250
06FN2,215000,593750,5000,6250
07AZ2,225000,587500,5000,6250
06HZ1,210000,575000,5000,6250
07BZ1,230000,587500,5000,6250
07AZ1,220000,587500,5000,6250
07CN2,225000,581250,5000,6250
07FZ1,250000,587500,5000,6250
07DZ2,235000,575000,5000,6250
07CZ1,220000,575000,5000,6250
07DZ1,230000,575000,5000,6250
07DN2,235000,581250,5000,6250
07CZ2,225000,575000,5000,6250
07BZ2,235000,587500,5000,6250
07CN1,220000,581250,5000,6250
07EZ2,245000,587500,5000,6250
07EN2,245000,593750,5000,6250
07EN1,240000,593750,5000,6250
07GZ1,240000,575000,5000,6250
07EZ1,240000,587500,5000,6250
07HN1,250000,581250,5000,6250
07FN2,255000,593750,5000,6250
07HN2,255000,581250,5000,6250
07GN1,240000,581250,5000,6250
07FN1,250000,593750,5000,6250
08AZ1,260000,587500,5000,6250
07FZ2,255000,587500,5000,6250
07GZ2,245000,575000,5000,6250
08DZ1,270000,575000,5000,6250
08AN1,260000,593750,5000,6250
07GN2,245000,581250,5000,6250
08DN1,270000,581250,5000,6250
07HZ1,250000,575000,5000,6250
09BN2,115000,568750,5000,6250
08CN1,260000,581250,5000,6250
08CZ1,260000,575000,5000,6250
08CZ2,265000,575000,5000,6250
08AZ2,265000,587500,5000,6250
09BZ1,110000,562500,5000,6250
07HZ2,255000,575000,5000,6250
08DZ2,275000,575000,5000,6250
08CN2,265000,581250,5000,6250
09BZ2,115000,562500,5000,6250
08DN2,275000,581250,5000,6250
09DN1,110000,556250,5000,6250
09CN2,105000,556250,5000,6250
09BN1,110000,568750,5000,6250
09DN2,115000,556250,5000,6250
09HZ1,130000,550000,5000,6250
09DZ2,115000,550000,5000,6250
09EZ1,120000,562500,5000,6250
09AZ2,105000,562500,5000,6250
09CZ2,105000,550000,5000,6250
09DZ1,110000,550000,5000,6250
09EN1,120000,568750,5000,6250
10AZ2,145000,562500,5000,6250
10DZ2,155000,550000,5000,6250
10CN2,145000,556250,5000,6250
10EN1,160000,568750,5000,6250
09HN2,135000,556250,5000,6250
